"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\Coding Projects\water-eject-app\App.js", "JavaScript", 0, 78, 0, 7, 85
"d:\Coding Projects\water-eject-app\app.json", "JSON", 15, 0, 16, 0, 31
"d:\Coding Projects\water-eject-app\babel.config.js", "JavaScript", 0, 6, 0, 1, 7
"d:\Coding Projects\water-eject-app\components\FreqStart.js", "JavaScript", 0, 32, 0, 6, 38
"d:\Coding Projects\water-eject-app\components\Frequencies.js", "JavaScript", 0, 181, 0, 23, 204
"d:\Coding Projects\water-eject-app\components\Waveform.js", "JavaScript", 0, 20, 0, 3, 23
"d:\Coding Projects\water-eject-app\package-lock.json", "JSON", 23878, 0, 0, 1, 23879
"d:\Coding Projects\water-eject-app\package.json", "JSON", 30, 0, 0, 1, 31
"d:\Coding Projects\water-eject-app\screens\Home.jsx", "JavaScript", 0, 15, 0, 4, 19
"Total", "-", 23923, 332, 16, 46, 24317